id,ranking_in_category_guardian,title,director,leading_actors,year_released,no_of_oscars won,IMDB_link,guardian_film_page,country,category_guardian,list_source,list_year,note
90,25,Spirit of the Beehive,Victor Erice,"Ana Torrent, Fernando Fernan, Fernando Fernan Gomez, Fernando Fernan Gomez, Isabel Telleria",1973,,http://www.imdb.com/title/tt0070040/,http://www.guardian.co.uk/film/movie/76634/spirit.of.the.beehive,Spain,drama,guardian,2010,
91,3,Don’t Look Now,Nicholas Roeg,"Donald Sutherland, Hilary Mason, Julie Christie",1973,,http://www.imdb.com/title/tt0069995/,http://www.guardian.co.uk/film/movie/35097/don.t.look.now,UK,horror,guardian,2010,
92,4,The Wicker Man,Robin Hardy,"Britt Ekland, Christopher Lee, Edward Woodward",1973,,http://www.imdb.com/title/tt0070917/,http://www.guardian.co.uk/film/movie/36301/wicker.man,UK,horror,guardian,2010,
93,6,The Exorcist,William Friedkin,"Ellen Burstyn, Linda Blair, Max von Sydow",1973,2,http://www.imdb.com/title/tt0070047/,http://www.guardian.co.uk/film/movie/86477/exorcist,USA,horror,guardian,2010,
94,1,Chinatown,Roman Polanski,"Faye Dunaway, Jack Nicholson, John Huston",1974,1,http://www.imdb.com/title/tt0071315/,http://www.guardian.co.uk/film/movie/36302/chinatown,USA,crime,guardian,2010,
95,11,The Conversation,"Francis Coppola, Francis Ford Coppola","Allen Garfield, Gene Hackman, John Cazale",1974,,http://www.imdb.com/title/tt0071360/,http://www.guardian.co.uk/film/movie/77114/conversation,USA,crime,guardian,2010,
96,15,The Godfather: Part II,Francis Ford Coppola,"Al Lettieri, Al Pacino, Diane Keaton, James Caan, John Cazale, Marlon Brando, Robert Duvall, Talia Shire",1974,6,http://www.imdb.com/title/tt0071562/,http://www.guardian.co.uk/film/movie/36295/godfather,USA,drama,guardian,2010,The Godfather Part 1 & Part 2 listed together at position 15
97,19,Dark Star,John Carpenter,"Brian Narelle, Dan O'Bannon, Dre Pahich",1974,,http://www.imdb.com/title/tt0069945/,http://www.guardian.co.uk/film/movie/77501/dark-star,USA,scifi,guardian,2010,
98,14,Texas Chainsaw Massacre,Tobe Hooper," Edwin Neal, Jim Siedow, Marilyn Burns, Paul A Partain",1974,,http://www.imdb.com/title/tt0072271/,http://www.guardian.co.uk/film/movie/82763/texas-chainsaw-massacre,USA,horror,guardian,2010,
99,24,Carrie,Brian De Palma,"John Travolta, Piper Laurie, Sissy Spacek",1976,,http://www.imdb.com/title/tt0074285/,http://www.guardian.co.uk/film/movie/81489/carrie,USA,horror,guardian,2010,
100,1,Annie Hall,Woody Allen,"Carol Kane, Diane Keaton, Paul Simon, Tony Roberts, Woody Allen",1977,4,http://www.imdb.com/title/tt0075686/,http://www.guardian.co.uk/film/movie/36314/annie.hall,USA,comedy,guardian,2010,
101,9,Star Wars,George Lucas,"Alec Guinness, Carrie Fisher, David Prowse, Harrison Ford, Mark Hamill, Peter Cushing, Peter Mayhew",1977,6,http://www.imdb.com/title/tt0076759/,http://www.guardian.co.uk/film/movie/36316/star.wars,USA,scifi,guardian,2010,
102,10,Close Encounters,Steven Spielberg,"Melinda Dillon, Richard Dreyfuss",1977,1,http://www.imdb.com/title/tt0075860/,http://www.guardian.co.uk/film/movie/36315/close-encounters-of-the-third-kind,USA,scifi,guardian,2010,
103,20,Deer Hunter,Michael Cimino,"Christopher Walken, Meryl Streep, Robert De Niro",1978,5,http://www.imdb.com/title/tt0077416/,http://www.guardian.co.uk/film/movie/36318/deer-hunter,USA,action,guardian,2010,
104,7,Days of Heaven,Terrence Malik,"Brooke Adams, Richard Gere, Sam Shepard",1978,1,http://www.imdb.com/title/tt0077405/,http://www.guardian.co.uk/film/movie/76235/days-of-heaven,USA,drama,guardian,2010,
105,17,Halloween,John Carpenter,"Donald Pleasance, Donald Pleasence, Jamie Lee Curtis, Nancy Loomis, Tony Moran",1978,,http://www.imdb.com/title/tt0077651/,http://www.guardian.co.uk/film/movie/104810/halloween,USA,horror,guardian,2010,
106,1,Apocalypse Now,Francis Coppola,"Dennis Hopper, Frederic Forrest, Laurence Fishburne, Marlon Brando, Martin Sheen, Robert Duvall, Rpobert Duvall",1979,2,http://www.imdb.com/title/tt0078788/,http://www.guardian.co.uk/film/movie/36320/apocalypse.now,USA,action,guardian,2010,
107,10,Monty Python’s Life of Brian,Terry Jones,"Eric Idle, Graham Chapman, John Cleese, Michael Palin, Terry Gilliam, Terry Jones",1979,,http://www.imdb.com/title/tt0079470/,http://www.guardian.co.uk/film/movie/78168/monty-python-s-life-of-brian,UK,comedy,guardian,2010,
108,24,The Jerk,Carl Reiner,Steve Martin,1979,,http://www.imdb.com/title/tt0079367/,http://www.guardian.co.uk/film/movie/88834/jerk,USA,comedy,guardian,2010,
109,4,Alien,Ridley Scott,"Ian Holm, John Hurt, Sigourney Weaver, Tom Skerritt",1979,1,http://www.imdb.com/title/tt0078748/,http://www.guardian.co.uk/film/movie/75860/alien,USA,scifi,guardian,2010,
110,19,Long Good Friday,John McKenzie,"Bob Hoskins, Bryan Marshall, Dave King, Helen Mirren",1980,,http://www.imdb.com/title/tt0081070/,http://www.guardian.co.uk/film/movie/36322/long.good.friday,UK,crime,guardian,2010,
111,11,Airplane!,"Jim Abrahams, David Zucker and Jerry Zucker","Julie Hagerty, Leslie Nielsen, Robert Hays",1980,,http://www.imdb.com/title/tt0080339/,http://www.guardian.co.uk/film/movie/83228,USA,comedy,guardian,2010,
112,5,The Shining,Stanley Kubrick,"Danny Lloyd, Jack Nicholson, Shelley Duval",1980,,http://www.imdb.com/title/tt0081505/,http://www.guardian.co.uk/film/movie/76626/shining,USA,horror,guardian,2010,
113,11,Raiders of the Lost Ark,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey",1981,4,http://www.imdb.com/title/tt0082971/,http://www.guardian.co.uk/film/movie/36332/raiders-of-the-lost-ark,USA,action,guardian,2010,
114,23,The Evil Dead,Sam Raimi,"Betsy Baker, Bruce Campbell, Ellen Sandweiss",1981,,http://www.imdb.com/title/tt0083907/,http://www.guardian.co.uk/film/movie/34582/evil-dead,USA,horror,guardian,2010,Evil Dead & Evil Dead 2 listed together at position 23
115,3,Blade Runner,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",1982,,http://www.imdb.com/title/tt0083658/,http://www.guardian.co.uk/film/movie/76627/blade-runner,USA,scifi,guardian,2010,
116,6,ET,Steven Spielberg,"Dee Wallace, Drew Barrymore, Henry Thomas, Peter Coyote",1982,4,http://www.imdb.com/title/tt0083866/,http://www.guardian.co.uk/film/movie/92910/e.t.the.extra-terrestrial,USA,scifi,guardian,2010,
117,20,Scarface,Brian De Palma,"Al Pacino, Mary Elizabeth Mastrantonio, Michelle Pfeiffer, Robert Loggia, Steven Bauer",1983,,http://www.imdb.com/title/tt0086250/,http://www.guardian.co.uk/film/movie/78370/scarface,USA,crime,guardian,2010,
118,15,This Is Spinal Tap,Rob Reiner," Christopher Guest, Harry Shearer, Michael McKean, Rob Reiner",1984,,http://www.imdb.com/title/tt0088258/,http://www.guardian.co.uk/film/movie/81384/this.is.spinal.tap,USA,comedy,guardian,2010,
